OBJECTID,ID,risk,predict_risk
369,13021,0,0
370,13023,0,0
371,13025,1,1
372,13027,0,0
373,13029,1,1
374,13031,0,0
375,13033,0,0
376,13035,0,0
377,13037,0,0
378,13039,0,0
379,13043,0,0
380,13045,0,0
381,13047,0,0
382,13049,0,0
383,13051,0,0
384,13053,0,0
385,13055,0,0
386,13057,0,0
387,13059,0,0
388,13061,0,0
389,13063,0,0
390,13065,0,0
391,13067,0,-1
392,13069,0,0
393,13071,0,0
394,13073,0,0
395,13075,0,0
396,13077,0,0
397,13079,0,0
398,13081,0,0
399,13083,0,0
400,13085,0,0
401,13087,0,0
402,13089,0,-1
403,13091,0,0
404,13093,0,0
405,13095,0,0
406,13097,0,0
407,13099,0,0
408,13101,0,0
409,13103,0,0
410,13105,0,0
411,13107,0,0
412,13109,0,0
413,13111,0,0
414,13113,0,0
415,13115,0,1
416,13117,0,0
417,13119,0,0
418,13121,0,-1
419,13123,0,0
420,13125,0,0
421,13127,1,1
422,13129,0,0
423,13131,0,0
424,13133,0,0
425,13135,0,-1
426,13137,0,0
427,13139,0,0
428,13141,0,0
429,13143,0,1
430,13145,0,0
431,13147,0,0
432,13149,0,0
433,13151,0,0
434,13153,0,0
435,13155,0,0
436,13157,0,0
437,13159,0,1
438,13161,0,0
439,13163,0,0
440,13165,0,0
441,13167,0,0
442,13169,1,1
443,13171,0,1
444,13173,0,0
445,13175,0,0
446,13177,0,0
447,13179,1,1
448,13181,0,0
449,13183,1,1
450,13185,0,0
451,13187,0,0
452,13189,0,0
453,13191,1,1
454,13193,0,0
455,13195,0,0
456,13197,0,0
457,13199,0,0
458,13201,0,0
459,13205,0,0
460,13207,1,1
461,13209,0,0
462,13211,0,0
463,13213,0,0
464,13215,0,0
465,13217,0,0
466,13219,0,0
467,13221,0,0
468,13223,0,0
469,13225,0,0
470,13227,0,0
471,13229,0,0
472,13231,0,1
473,13233,0,0
474,13235,0,0
475,13237,0,0
476,13239,0,0
477,13241,0,0
478,13243,0,0
479,13245,0,0
480,13247,0,0
481,13249,0,0
482,13251,0,0
483,13253,0,0
484,13255,0,0
485,13257,0,0
486,13259,0,0
487,13261,0,0
488,13263,0,0
489,13265,0,0
490,13267,0,0
491,13269,0,0
492,13271,0,0
493,13273,0,0
494,13275,0,0
495,13277,0,0
496,13279,0,0
497,13281,0,0
498,13283,0,0
499,13285,0,0
500,13287,0,0
501,13289,0,0
502,13291,0,0
503,13293,0,1
504,13295,0,0
505,13297,0,0
506,13299,0,0
507,13301,0,0
508,13303,0,0
509,13305,0,0
510,13307,0,0
511,13309,0,0
512,13311,0,0
513,13313,0,0
514,13315,0,0
